# ccx tau_xx tau_yy tau_zz cp yplus
0.00571537 -3.12961e-05 -4.38021e-05 -1.47493e-22 -0.0805971 35.1174
0.00676112 -3.66329e-05 -4.89718e-05 7.48422e-23 -0.43841 37.6051
0.00798413 -3.94019e-05 -4.69046e-05 -3.59372e-23 -0.47958 38.0445
0.00923718 -4.49004e-05 -4.76222e-05 1.03512e-22 -0.50702 39.922
0.010581 -4.84175e-05 -4.92124e-05 7.34684e-40 -0.770682 40.7794
0.0120147 -5.00063e-05 -4.54227e-05 6.69862e-23 -0.736933 41.1866
0.0134484 -5.4555e-05 -4.51481e-05 -6.47084e-23 -0.768918 42.9935
7.37966e-05 -3.10469e-06 -3.30374e-06 9.68253e-23 0.984777 8.17405
0.000219509 -2.54456e-06 -1.41082e-06 -2.6147e-22 0.99859 6.06315
0.000378385 -2.45769e-06 -5.28431e-08 1.85522e-22 1.00143 5.14721
0.000597829 -2.52553e-06 1.28182e-06 1.64404e-22 0.996068 6.2808
0.000860367 -2.72616e-06 2.59309e-06 -1.35842e-22 0.983149 8.19856
0.00111818 -3.27128e-06 3.95031e-06 -1.24274e-26 0.960902 10.2019
0.00137145 -3.75053e-06 5.81418e-06 1.83671e-40 0.928945 12.6162
0.00170279 -4.10986e-06 8.0912e-06 -1.57668e-23 0.888259 14.1328
0.00215154 -4.87072e-06 1.00127e-05 -2.97315e-23 0.847968 15.377
0.00263213 -5.97095e-06 1.15827e-05 2.57139e-39 0.808268 16.9576
0.00310238 -7.17321e-06 1.3444e-05 -5.08711e-23 0.761459 18.721
0.0035907 -8.28217e-06 1.57302e-05 2.45205e-23 0.704042 20.046
0.0041227 -9.57033e-06 1.77259e-05 0 0.647389 21.0253
0.00466988 -1.11931e-05 1.93182e-05 -2.29178e-23 0.596186 22.3345
0.00520659 -1.29625e-05 2.11599e-05 3.27811e-23 0.534755 23.9469
0.00573301 -1.49936e-05 2.34436e-05 -2.08629e-23 0.46012 25.7754
0.00628604 -1.65034e-05 2.67989e-05 2.24997e-39 0.368932 26.7468
0.00692431 -1.80771e-05 2.93085e-05 -2.18779e-23 0.280802 25.6101
0.00760899 -2.04756e-05 2.95838e-05 4.46911e-23 0.262625 24.8922
0.00827955 -2.23177e-05 2.9887e-05 -2.21151e-23 0.217062 25.7696
0.00893629 -2.42473e-05 3.03106e-05 -1.08191e-23 0.166109 26.6874
0.00958299 -2.61021e-05 3.17562e-05 3.21309e-23 0.115306 27.703
0.0102637 -2.72605e-05 3.35436e-05 1.09497e-23 0.0373548 26.5545
0.0109746 -2.98065e-05 3.32077e-05 -2.32899e-23 0.0423575 24.5557
0.0116717 -3.10838e-05 3.23885e-05 1.18041e-23 0.0198393 24.978
0.0123552 -3.23117e-05 3.19104e-05 -1.18197e-23 -0.0074755 25.4581
0.0130253 -3.35246e-05 3.14567e-05 -9.17169e-27 -0.0350976 25.9321
0.0136824 -3.47207e-05 3.17638e-05 -2.3164e-23 -0.0580364 26.5335
0.0143498 -3.54266e-05 3.29106e-05 -8.77018e-27 -0.10475 25.8236
0.0150353 -3.74285e-05 3.28233e-05 -1.14794e-41 -0.100575 23.517
0.0157159 -3.82432e-05 3.1205e-05 -2.93874e-39 -0.0956128 22.9929
0.0163842 -3.84036e-05 2.96594e-05 -1.29509e-23 -0.095284 23.2128
0.0170405 -3.84765e-05 2.84464e-05 -6.50737e-24 -0.100806 23.4787
0.0176851 -3.85071e-05 2.73131e-05 6.46877e-24 -0.103665 23.7482
0.018318 -3.86059e-05 2.6614e-05 -6.45177e-24 -0.106343 24.0967
0.0189395 -3.88407e-05 2.55922e-05 -1.27207e-23 -0.118705 24.4449
