# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 9.46572765e-02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
174             	1.00964077e-01	1.72295767e-19	-8.04556907e-01	4.02278454e-01	3.51266381e-01	5.04820383e-02	4.52760492e-01	-3.51796415e-01	5.04820383e-02	-5.04820383e-02	-5.10120725e-02	-7.53544835e-01
175             	1.01006852e-01	1.72232321e-19	-8.04156405e-01	4.02078203e-01	3.51187645e-01	5.05034261e-02	4.52581629e-01	-3.51574776e-01	5.05034261e-02	-5.05034261e-02	-5.08905573e-02	-7.53265848e-01
176             	1.00887663e-01	1.72169452e-19	-8.04153296e-01	4.02076648e-01	3.51206800e-01	5.04438317e-02	4.52520480e-01	-3.51632816e-01	5.04438317e-02	-5.04438317e-02	-5.08698482e-02	-7.53283447e-01
177             	1.00950833e-01	1.72105742e-19	-8.03788197e-01	4.01894099e-01	3.51158508e-01	5.04754163e-02	4.52369515e-01	-3.51418682e-01	5.04754163e-02	-5.04754163e-02	-5.07355909e-02	-7.53052606e-01
178             	1.00844350e-01	1.72042578e-19	-8.03798053e-01	4.01899027e-01	3.51191453e-01	5.04221751e-02	4.52321202e-01	-3.51476851e-01	5.04221751e-02	-5.04221751e-02	-5.07075733e-02	-7.53090480e-01
179             	1.00923145e-01	1.71978514e-19	-8.03511684e-01	4.01755842e-01	3.51176245e-01	5.04615724e-02	4.52217414e-01	-3.51294270e-01	5.04615724e-02	-5.04615724e-02	-5.05795967e-02	-7.52932087e-01
180             	1.00812242e-01	1.71915125e-19	-8.03723947e-01	4.01861973e-01	3.51267847e-01	5.04061208e-02	4.52268094e-01	-3.51455853e-01	5.04061208e-02	-5.04061208e-02	-5.05941266e-02	-7.53129820e-01
181             	1.00896498e-01	1.71849519e-19	-8.03480356e-01	4.01740178e-01	3.51256737e-01	5.04482491e-02	4.52188427e-01	-3.51291929e-01	5.04482491e-02	-5.04482491e-02	-5.04834413e-02	-7.52996915e-01
182             	1.00790272e-01	1.71786826e-19	-8.03628354e-01	4.01814177e-01	3.51317365e-01	5.03951359e-02	4.52209313e-01	-3.51419041e-01	5.03951359e-02	-5.03951359e-02	-5.04968121e-02	-7.53131542e-01
183             	1.00844349e-01	1.71722559e-19	-8.03480630e-01	4.01740315e-01	3.51326569e-01	5.04221747e-02	4.52162490e-01	-3.51318140e-01	5.04221747e-02	-5.04221747e-02	-5.04137466e-02	-7.53066884e-01
184             	1.00750229e-01	1.71658891e-19	-8.03731873e-01	4.01865937e-01	3.51415555e-01	5.03751145e-02	4.52241051e-01	-3.51490822e-01	5.03751145e-02	-5.03751145e-02	-5.04503814e-02	-7.53281492e-01
185             	1.00822750e-01	1.71592990e-19	-8.03610278e-01	4.01805139e-01	3.51435322e-01	5.04113751e-02	4.52216514e-01	-3.51393764e-01	5.04113751e-02	-5.04113751e-02	-5.03698172e-02	-7.53240461e-01
186             	1.00712664e-01	1.71528704e-19	-8.03904541e-01	4.01952271e-01	3.51537180e-01	5.03563318e-02	4.52308602e-01	-3.51595939e-01	5.03563318e-02	-5.03563318e-02	-5.04150910e-02	-7.53489450e-01
187             	1.00784575e-01	1.71464775e-19	-8.03678572e-01	4.01839286e-01	3.51515981e-01	5.03922877e-02	4.52231573e-01	-3.51446998e-01	5.03922877e-02	-5.03922877e-02	-5.03233046e-02	-7.53355267e-01
188             	1.00709099e-01	1.71401283e-19	-8.03807181e-01	4.01903590e-01	3.51565173e-01	5.03545497e-02	4.52258140e-01	-3.51549041e-01	5.03545497e-02	-5.03545497e-02	-5.03384178e-02	-7.53468763e-01
189             	1.00755085e-01	1.71335273e-19	-8.03568772e-01	4.01784386e-01	3.51535028e-01	5.03775426e-02	4.52161929e-01	-3.51406843e-01	5.03775426e-02	-5.03775426e-02	-5.02493576e-02	-7.53319414e-01
190             	1.00675703e-01	1.71271817e-19	-8.03613981e-01	4.01806991e-01	3.51551917e-01	5.03378514e-02	4.52144842e-01	-3.51469139e-01	5.03378514e-02	-5.03378514e-02	-5.02550741e-02	-7.53358907e-01
191             	1.00704254e-01	1.71206738e-19	-8.03326760e-01	4.01663380e-01	3.51493401e-01	5.03521272e-02	4.52015507e-01	-3.51311253e-01	5.03521272e-02	-5.03521272e-02	-5.01699792e-02	-7.53156781e-01
192             	1.00625408e-01	1.71142347e-19	-8.03382396e-01	4.01691198e-01	3.51499313e-01	5.03127040e-02	4.52003902e-01	-3.51378494e-01	5.03127040e-02	-5.03127040e-02	-5.01918855e-02	-7.53190511e-01
193             	1.00662016e-01	1.71075876e-19	-8.03094386e-01	4.01547193e-01	3.51421662e-01	5.03310082e-02	4.51878201e-01	-3.51216185e-01	5.03310082e-02	-5.03310082e-02	-5.01255309e-02	-7.52968856e-01
