# ccx tau_xx tau_yy tau_zz cp yplus
0.471947 -3.09316e-05 -3.95499e-06 -1.43742e-30 -0.755877 0.319509
0.481986 -3.05222e-05 -3.9694e-06 8.33578e-21 -0.73325 0.317581
0.492263 -3.02541e-05 -4.05963e-06 -8.13967e-21 -0.733354 0.316367
0.502792 -3.01354e-05 -4.09404e-06 -3.03214e-26 -0.711392 0.315946
0.5136 -2.97722e-05 -4.19371e-06 1.54351e-20 -0.714776 0.314227
0.524688 -2.96857e-05 -4.22038e-06 1.50726e-20 -0.689511 0.313979
0.536037 -2.93716e-05 -4.37879e-06 -2.94333e-20 -0.697267 0.312511
0.547653 -2.86138e-05 -4.34319e-06 -2.73497e-26 -0.669608 0.308672
0.559542 -2.86227e-05 -4.49634e-06 1.40318e-20 -0.668701 0.308926
0.571711 -2.76573e-05 -4.47502e-06 1.83671e-40 -0.650466 0.30389
0.584203 -2.75476e-05 -4.53093e-06 1.76691e-37 -0.634969 0.303507
0.597028 -2.71863e-05 -4.59164e-06 -1.29842e-20 -0.625925 0.301728
0.610161 -2.67462e-05 -4.59869e-06 1.26725e-20 -0.608744 0.299502
0.623612 -2.67277e-05 -4.67554e-06 -1.11963e-30 -0.597724 0.299624
0.637391 -2.64335e-05 -4.75914e-06 2.30056e-26 -0.587736 0.298195
0.651504 -2.57413e-05 -4.79516e-06 2.35266e-20 -0.574981 0.29449
0.665965 -2.51552e-05 -4.80975e-06 2.29374e-20 -0.556835 0.291349
0.68081 -2.47082e-05 -4.84432e-06 -2.22892e-20 -0.541985 0.28898
0.696059 -2.42228e-05 -4.85835e-06 -1.56435e-30 -0.52447 0.286362
0.711704 -2.38279e-05 -4.8905e-06 -1.47362e-30 -0.508466 0.284252
0.727757 -2.33408e-05 -4.91807e-06 -2.05788e-20 -0.492032 0.281562
0.744233 -2.27221e-05 -4.93049e-06 -4.00445e-20 -0.474388 0.278032
0.761151 -2.19698e-05 -4.9153e-06 -3.71328e-26 -0.454309 0.273613
0.778535 -2.11713e-05 -4.86224e-06 1.80387e-26 -0.431618 0.268822
0.796416 -2.05888e-05 -4.82636e-06 3.67289e-20 -0.407126 0.265333
0.814824 -1.99917e-05 -4.78402e-06 4.59177e-41 -0.385928 0.26169
0.83379 -1.94593e-05 -4.76977e-06 3.45228e-20 -0.360601 0.258405
0.853346 -1.84805e-05 -4.6609e-06 -3.34187e-20 -0.340363 0.252027
0.87356 -1.78008e-05 -4.62963e-06 3.22087e-20 -0.304397 0.247546
0.894523 -1.62282e-05 -4.31185e-06 -6.19685e-20 -0.286576 0.236571
0.916268 -1.66865e-05 -4.56542e-06 1.42282e-26 -0.225876 0.24007
0.938949 -1.2086e-05 -3.41845e-06 5.67449e-20 -0.262477 0.204471
0.962784 -1.73154e-05 -5.0683e-06 1.07586e-19 -0.0824281 0.244858
0.987503 -1.48919e-06 -9.6705e-07 -1.46937e-39 -0.384611 0.0737657
0.025665 -4.63221e-05 2.34204e-05 4.13088e-21 -1.04464 0.399463
0.0268277 -4.307e-05 2.18444e-05 -9.87069e-25 -1.00052 0.38452
0.0280175 -4.80336e-05 2.41674e-05 -1.07839e-29 -0.998162 0.40493
0.0292357 -4.94817e-05 2.49023e-05 4.7073e-25 -0.990566 0.410216
0.0304822 -5.45675e-05 2.73463e-05 -3.76816e-21 -0.985723 0.429825
0.0317617 -5.61366e-05 2.7453e-05 -3.67978e-21 -1.0053 0.435711
0.0330762 -5.15888e-05 2.4819e-05 2.20405e-39 -0.998144 0.417515
0.0344213 -5.13882e-05 2.46531e-05 3.093e-28 -0.982801 0.415952
0.0357957 -5.41995e-05 2.59185e-05 6.90549e-21 -0.984488 0.426409
0.0371989 -5.61661e-05 2.68347e-05 -6.77112e-21 -0.989062 0.433413
0.0386341 -6.04734e-05 2.85173e-05 -6.61457e-21 -0.996238 0.44922
0.0401062 -5.6689e-05 2.59175e-05 -6.49257e-21 -1.02537 0.435149
0.0416108 -5.28787e-05 2.41985e-05 -6.37361e-21 -0.99386 0.419794
0.0431461 -5.69448e-05 2.5915e-05 -3.80754e-25 -1.00423 0.434889
0.0447122 -5.73035e-05 2.60993e-05 -6.12363e-21 -1.01293 0.435763
0.0463075 -6.28364e-05 2.84891e-05 -3.66346e-25 -1.01486 0.455675
0.0479395 -6.05166e-05 2.65175e-05 -5.89074e-21 -1.06312 0.447511
0.0496084 -5.59409e-05 2.45566e-05 4.59177e-41 -1.03125 0.429887
0.0513073 -6.10475e-05 2.66362e-05 -5.68653e-21 -1.04855 0.448386
0.0530361 -6.10678e-05 2.66784e-05 5.58693e-21 -1.06936 0.448036
0.0547953 -6.96683e-05 3.02777e-05 3.36101e-25 -1.07086 0.477907
0.0565969 -6.4795e-05 2.64378e-05 5.38457e-21 -1.15944 0.461887
0.0584421 -5.46449e-05 2.22336e-05 -3.23287e-25 -1.09371 0.424098
0.0603194 -6.01536e-05 2.42522e-05 -1.91922e-41 -1.11171 0.444275
